,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End,Month of Period End
Region,February 2014,March 2014,April 2014,May 2014,June 2014,July 2014,August 2014,September 2014,October 2014,November 2014,December 2014,January 2015,February 2015,March 2015,April 2015,May 2015,June 2015,July 2015,August 2015,September 2015,October 2015,November 2015,December 2015,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,July 2023,August 2023,September 2023,October 2023,November 2023,December 2023,January 2024,February 2024
"Austin County, TX",$196K,$150K,$195K,$140K,$171K,$190K,$175K,$170K,$153K,$230K,$158K,$218K,$138K,$145K,$193K,$159K,$205K,$235K,$225K,$195K,$208K,$199K,$163K,$230K,$187K,$203K,$199K,$191K,$260K,$200K,$200K,$187K,$254K,$285K,$206K,$183K,$275K,$196K,$206K,$212K,$208K,$235K,$255K,$158K,$300K,$220K,$220K,$286K,$215K,$245K,$286K,$243K,$192K,$205K,$285K,$213K,$234K,$166K,$219K,$213K,$222K,$250K,$252K,$273K,$233K,$207K,$279K,$298K,$225K,$230K,$298K,$280K,$195K,$200K,$250K,$290K,$220K,$325K,$280K,$295K,$464K,$330K,$483K,$316K,$232K,$285K,$290K,$330K,$325K,$378K,$326K,$346K,$377K,$290K,$350K,$363K,$385K,$409K,$354K,$394K,$369K,$425K,$300K,$365K,$360K,$385K,$349K,$375K,$365K,$315K,$328K,$315K,$312K,$316K,$320K,$303K,$342K,$295K,$302K,$270K,$315K
"Austin, TX",$270K,$275K,$279K,$290K,$292K,$282K,$279K,$280K,$280K,$279K,$295K,$290K,$287K,$298K,$316K,$329K,$330K,$318K,$305K,$300K,$305K,$314K,$323K,$299K,$320K,$320K,$340K,$335K,$339K,$333K,$340K,$320K,$322K,$326K,$335K,$311K,$325K,$350K,$350K,$364K,$365K,$354K,$345K,$342K,$355K,$342K,$347K,$336K,$355K,$355K,$376K,$370K,$368K,$370K,$370K,$351K,$364K,$359K,$364K,$344K,$347K,$365K,$380K,$393K,$399K,$393K,$380K,$390K,$396K,$398K,$389K,$385K,$400K,$420K,$421K,$425K,$415K,$427K,$440K,$420K,$450K,$445K,$475K,$465K,$495K,$522K,$575K,$575K,$585K,$580K,$550K,$550K,$546K,$556K,$555K,$560K,$570K,$640K,$650K,$669K,$620K,$631K,$570K,$555K,$560K,$530K,$525K,$525K,$540K,$535K,$565K,$570K,$604K,$566K,$550K,$549K,$540K,$518K,$520K,$500K,$526K
"Austin, TX metro area",$230K,$235K,$236K,$245K,$250K,$248K,$245K,$238K,$240K,$245K,$247K,$240K,$248K,$258K,$270K,$270K,$272K,$265K,$262K,$255K,$255K,$270K,$272K,$256K,$268K,$276K,$287K,$285K,$294K,$285K,$285K,$275K,$280K,$290K,$290K,$279K,$289K,$295K,$301K,$305K,$308K,$298K,$295K,$289K,$290K,$291K,$305K,$290K,$295K,$300K,$315K,$318K,$321K,$315K,$317K,$300K,$305K,$300K,$304K,$295K,$295K,$304K,$319K,$329K,$330K,$320K,$320K,$320K,$325K,$310K,$322K,$309K,$325K,$333K,$325K,$330K,$340K,$352K,$350K,$355K,$368K,$365K,$369K,$370K,$397K,$427K,$467K,$465K,$480K,$483K,$473K,$450K,$458K,$471K,$475K,$483K,$500K,$521K,$555K,$551K,$535K,$520K,$500K,$475K,$475K,$467K,$455K,$450K,$439K,$450K,$467K,$465K,$479K,$461K,$460K,$454K,$445K,$425K,$443K,$430K,$443K
"Bastrop, TX",$153K,$157K,$152K,$168K,$165K,$158K,$168K,$170K,$155K,$158K,$170K,$174K,$175K,$166K,$183K,$183K,$191K,$182K,$179K,$187K,$185K,$194K,$195K,$178K,$193K,$221K,$210K,$192K,$207K,$175K,$235K,$193K,$210K,$210K,$265K,$176K,$204K,$211K,$208K,$222K,$224K,$225K,$210K,$220K,$243K,$210K,$250K,$272K,$219K,$218K,$224K,$231K,$278K,$230K,$216K,$232K,$213K,$215K,$222K,$225K,$218K,$243K,$228K,$235K,$247K,$265K,$228K,$234K,$229K,$242K,$222K,$265K,$225K,$261K,$250K,$226K,$239K,$245K,$260K,$259K,$280K,$273K,$258K,$249K,$265K,$275K,$278K,$333K,$318K,$378K,$329K,$346K,$313K,$346K,$349K,$350K,$388K,$379K,$416K,$380K,$391K,$387K,$398K,$359K,$362K,$350K,$340K,$318K,$345K,$324K,$355K,$300K,$318K,$287K,$304K,$315K,$337K,$279K,$356K,$293K,$301K
"Buda, TX",$199K,$236K,$230K,$227K,$245K,$220K,$256K,$222K,$229K,$257K,$250K,$224K,$249K,$236K,$260K,$249K,$265K,$261K,$255K,$255K,$272K,$231K,$262K,$242K,$239K,$266K,$265K,$258K,$277K,$258K,$265K,$275K,$273K,$252K,$247K,$263K,$285K,$245K,$257K,$270K,$272K,$295K,$265K,$281K,$253K,$260K,$263K,$270K,$285K,$280K,$272K,$276K,$305K,$280K,$270K,$287K,$294K,$280K,$280K,$276K,$287K,$288K,$301K,$272K,$290K,$279K,$283K,$309K,$310K,$279K,$298K,$297K,$285K,$301K,$319K,$335K,$310K,$327K,$302K,$319K,$317K,$340K,$324K,$330K,$365K,$372K,$410K,$440K,$435K,$490K,$480K,$425K,$440K,$397K,$425K,$410K,$448K,$493K,$525K,$598K,$588K,$515K,$520K,$453K,$479K,$473K,$445K,$521K,$460K,$455K,$465K,$500K,$513K,$450K,$458K,$523K,$415K,$413K,$405K,$399K,$417K
"Bulverde, TX",$273K,$258K,$260K,$355K,$339K,$313K,$328K,$285K,$295K,$275K,$330K,$291K,$264K,$355K,$326K,$350K,$353K,$307K,$332K,$292K,$318K,$404K,$289K,$344K,$315K,$310K,$310K,$346K,$360K,$297K,$366K,$355K,$261K,$329K,$324K,$240K,$300K,$425K,$321K,$339K,$328K,$377K,$235K,$397K,$437K,$339K,$364K,$315K,$354K,$320K,$313K,$350K,$374K,$368K,$360K,$380K,$342K,$354K,$367K,$298K,$359K,$358K,$365K,$326K,$337K,$350K,$400K,$463K,$365K,$529K,$350K,$330K,$543K,$400K,$404K,$345K,$452K,$362K,$380K,$419K,$425K,$399K,$383K,$506K,$363K,$300K,$393K,$495K,$483K,$556K,$480K,$475K,$580K,$535K,$598K,$550K,$570K,$628K,$715K,$495K,$635K,$630K,$625K,$790K,$790K,$400K,$571K,$583K,$435K,$515K,$590K,$471K,$550K,$518K,$485K,$555K,$478K,$458K,$863K,$463K,$448K
"Cedar Park, TX",$239K,$269K,$250K,$276K,$250K,$252K,$253K,$261K,$237K,$249K,$260K,$261K,$268K,$271K,$280K,$279K,$276K,$277K,$278K,$266K,$273K,$247K,$263K,$264K,$270K,$284K,$305K,$290K,$299K,$285K,$286K,$290K,$279K,$279K,$270K,$280K,$299K,$284K,$291K,$317K,$310K,$291K,$297K,$308K,$293K,$280K,$292K,$292K,$296K,$302K,$310K,$319K,$345K,$320K,$361K,$305K,$305K,$306K,$305K,$315K,$317K,$348K,$325K,$338K,$338K,$345K,$315K,$328K,$332K,$330K,$325K,$338K,$344K,$365K,$351K,$331K,$356K,$343K,$360K,$385K,$377K,$366K,$376K,$410K,$450K,$532K,$526K,$525K,$545K,$535K,$514K,$477K,$498K,$520K,$537K,$573K,$582K,$615K,$630K,$640K,$585K,$530K,$561K,$525K,$555K,$480K,$478K,$458K,$469K,$525K,$577K,$500K,$539K,$523K,$500K,$482K,$503K,$470K,$469K,$423K,$495K
"Cibolo, TX",$171K,$211K,$197K,$200K,$197K,$215K,$208K,$216K,$199K,$202K,$217K,$203K,$219K,$209K,$222K,$225K,$232K,$216K,$230K,$200K,$186K,$230K,$205K,$228K,$213K,$226K,$235K,$229K,$240K,$240K,$249K,$223K,$233K,$227K,$240K,$220K,$238K,$220K,$226K,$241K,$247K,$247K,$233K,$244K,$233K,$227K,$245K,$220K,$257K,$231K,$243K,$252K,$244K,$262K,$244K,$249K,$253K,$258K,$256K,$253K,$235K,$248K,$250K,$257K,$278K,$267K,$267K,$268K,$254K,$252K,$249K,$265K,$258K,$258K,$256K,$275K,$264K,$270K,$272K,$275K,$272K,$273K,$270K,$272K,$295K,$271K,$304K,$303K,$302K,$338K,$325K,$349K,$338K,$325K,$336K,$342K,$355K,$359K,$345K,$395K,$379K,$379K,$380K,$370K,$349K,$370K,$375K,$378K,$370K,$371K,$360K,$374K,$387K,$372K,$357K,$352K,$390K,$340K,$358K,$353K,$362K
"Converse, TX",$126K,$135K,$125K,$137K,$135K,$123K,$150K,$153K,$147K,$159K,$165K,$147K,$160K,$163K,$153K,$154K,$163K,$155K,$157K,$155K,$150K,$147K,$155K,$145K,$155K,$164K,$157K,$165K,$157K,$162K,$168K,$165K,$163K,$179K,$166K,$169K,$163K,$167K,$169K,$173K,$171K,$178K,$181K,$170K,$173K,$169K,$177K,$163K,$181K,$185K,$186K,$182K,$187K,$181K,$182K,$189K,$180K,$180K,$178K,$186K,$185K,$188K,$179K,$187K,$185K,$195K,$200K,$201K,$186K,$179K,$185K,$190K,$211K,$193K,$195K,$191K,$202K,$200K,$200K,$199K,$205K,$227K,$224K,$218K,$221K,$216K,$229K,$233K,$240K,$246K,$245K,$266K,$260K,$280K,$285K,$271K,$300K,$280K,$300K,$323K,$310K,$293K,$309K,$290K,$284K,$270K,$291K,$282K,$258K,$270K,$285K,$288K,$267K,$268K,$276K,$273K,$267K,$250K,$241K,$250K,$245K
