Region,February 2014,March 2014,April 2014,May 2014,June 2014,July 2014,August 2014,September 2014,October 2014,November 2014,December 2014,January 2015,February 2015,March 2015,April 2015,May 2015,June 2015,July 2015,August 2015,September 2015,October 2015,November 2015,December 2015,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,July 2023,August 2023,September 2023,October 2023,November 2023,December 2023,January 2024,February 2024
"Austin County, TX",25,30,15,25,22,17,23,17,27,13,18,4,12,15,21,23,21,28,25,25,19,25,18,19,14,20,15,21,27,23,21,14,20,20,18,22,21,25,18,23,30,33,27,16,16,23,32,15,13,22,16,29,36,19,29,20,22,17,18,18,25,13,28,34,24,24,27,20,23,19,21,19,13,25,25,23,30,28,27,35,33,35,34,21,9,31,27,21,41,30,35,37,30,28,25,32,31,39,46,42,36,37,43,29,13,20,23,15,16,44,34,36,46,42,41,16,23,25,27,17,22
"Austin, TX",869,"1,030","1,137","1,322","1,274","1,318","1,214","1,080","1,110",828,"1,048",644,816,"1,087","1,198","1,282","1,369","1,384","1,259","1,145",983,822,"1,100",669,836,"1,112","1,182","1,340","1,454","1,274","1,301","1,094","1,012",967,"1,067",707,938,"1,165","1,185","1,453","1,528","1,305","1,329","1,065","1,015",964,"1,166",740,885,"1,209","1,291","1,494","1,493","1,420","1,351","1,005","1,074",939,"1,016",730,930,"1,117","1,281","1,494","1,406","1,369","1,373","1,147","1,146",991,"1,177",727,986,"1,151",847,927,"1,330","1,610","1,389","1,378","1,364","1,235","1,383",887,890,"1,239","1,315","1,394","1,527","1,455","1,352","1,256","1,139","1,171","1,228",773,889,"1,131","1,199","1,259","1,156",911,942,851,706,586,676,491,630,850,829,"1,096","1,032",891,952,756,692,572,629,512,686
"Austin, TX metro area","1,857","2,325","2,608","3,114","3,123","3,073","2,920","2,571","2,506","1,976","2,444","1,625","1,934","2,594","2,754","2,940","3,255","3,360","3,126","2,809","2,509","1,939","2,561","1,614","2,011","2,797","2,815","3,274","3,592","3,099","3,223","2,762","2,429","2,325","2,647","1,705","2,094","2,779","2,821","3,448","3,778","3,245","3,269","2,683","2,499","2,424","2,960","1,843","2,240","3,033","2,999","3,663","3,723","3,474","3,367","2,606","2,607","2,480","2,676","1,812","2,372","2,982","3,349","3,889","3,671","3,742","3,570","2,984","2,926","2,753","3,125","2,026","2,596","3,195","2,593","2,657","4,003","4,497","4,025","3,881","3,690","3,390","3,716","2,417","2,308","3,470","3,578","3,884","4,305","3,964","3,785","3,650","3,182","3,219","3,602","2,276","2,545","3,284","3,226","3,574","3,463","2,796","2,899","2,908","2,269","2,051","2,515","1,624","2,136","2,781","2,559","3,391","3,195","2,773","2,921","2,376","2,334","2,078","2,265","1,740","2,161"
"Bastrop, TX",15,21,27,29,27,27,28,25,32,15,28,14,11,21,23,22,25,25,27,28,24,13,14,15,22,25,21,22,23,21,25,24,25,22,21,19,21,24,20,27,44,34,27,22,24,23,25,16,13,24,26,30,28,28,30,23,16,23,22,13,20,20,19,31,28,35,32,24,23,14,20,19,18,24,20,21,35,45,34,27,28,30,31,30,31,43,20,30,50,32,24,24,26,22,33,27,18,37,30,41,36,26,26,38,23,25,29,13,21,24,25,27,26,30,42,26,30,20,25,21,28
"Buda, TX",23,27,31,53,48,41,31,31,36,28,38,27,23,37,40,50,48,45,39,36,27,22,43,21,22,42,46,46,40,36,45,43,33,23,34,15,28,27,39,38,52,49,59,22,33,25,44,12,29,29,38,41,37,43,35,26,19,27,24,14,30,34,26,36,47,43,33,33,27,24,28,21,20,34,32,23,53,47,38,37,35,38,54,37,23,46,39,32,45,46,33,33,28,32,47,19,20,27,30,34,24,27,22,22,18,14,19,18,20,22,20,31,28,23,27,15,17,17,22,13,13
"Bulverde, TX",4,8,5,10,8,12,7,7,10,9,9,4,8,10,9,5,15,12,10,11,12,4,15,6,16,3,9,17,13,11,22,7,13,7,10,3,5,7,13,8,8,8,8,6,4,12,10,7,6,10,10,13,15,12,12,13,8,9,8,6,4,9,8,14,13,9,10,6,15,4,10,6,10,11,7,7,13,18,13,12,17,15,12,5,8,5,8,11,10,15,17,13,6,19,12,3,9,9,11,12,15,13,10,7,9,11,8,6,3,5,17,6,9,10,11,9,8,3,3,3,18
"Cedar Park, TX",85,132,122,174,186,183,173,172,113,99,119,89,82,140,139,152,144,194,169,146,151,103,123,77,84,119,147,190,177,149,156,124,118,110,134,86,93,144,128,187,190,139,158,132,129,113,121,78,90,111,121,168,157,136,124,117,117,102,111,60,104,123,163,158,140,155,139,130,106,99,111,69,77,116,87,91,146,158,124,130,141,92,100,61,68,111,154,141,166,162,164,120,111,131,91,70,81,97,109,127,98,97,74,89,57,56,74,48,48,61,62,93,95,78,74,60,51,50,36,30,43
"Cibolo, TX",28,53,65,53,74,40,55,44,48,37,52,32,44,50,49,76,75,93,61,51,51,44,47,27,41,58,70,85,77,72,86,68,61,45,47,39,40,60,47,72,82,71,76,59,57,43,46,35,41,63,69,77,82,82,80,48,44,73,46,39,44,63,65,94,81,98,76,50,72,70,68,42,47,77,64,71,104,117,104,81,77,68,78,51,37,78,87,92,84,96,88,80,56,53,68,47,45,58,49,57,71,65,69,70,58,45,56,39,49,68,67,80,76,56,58,52,48,52,40,34,40
"Converse, TX",26,23,39,32,40,43,47,44,41,35,42,27,29,48,42,40,65,43,48,56,36,25,33,31,29,48,45,47,63,52,55,44,46,46,43,23,40,54,48,54,50,55,61,47,41,38,36,21,29,53,69,46,61,52,54,49,29,39,51,35,40,39,43,59,50,75,58,60,40,32,41,35,33,60,42,53,68,81,59,49,57,49,38,42,34,48,69,55,57,71,63,69,58,64,73,54,39,63,81,73,59,68,61,51,52,47,32,34,26,47,38,58,49,42,38,42,32,33,27,33,37
"Fredericksburg, TX",8,13,12,10,17,17,12,14,12,11,11,8,7,10,13,12,12,15,15,17,7,6,14,18,7,16,12,15,16,10,10,13,14,6,10,14,10,19,17,19,24,19,17,18,14,13,8,9,13,12,16,25,24,20,26,18,15,14,13,17,11,12,18,27,22,14,22,21,25,13,22,21,23,22,16,7,20,36,36,19,37,32,34,25,15,24,24,26,27,36,32,22,18,17,24,18,21,15,29,25,22,15,24,20,15,22,14,7,17,21,28,22,16,28,22,18,13,15,11,14,16
"Luling, TX",3,6,5,4,4,3,5,1,2,7,6,5,8,5,1,1,5,5,2,1,4,6,4,4,6,8,3,6,9,9,6,3,6,9,1,,8,5,5,4,3,1,11,1,4,5,5,6,3,6,4,2,6,5,6,2,5,2,4,4,2,7,4,1,2,4,5,4,3,4,5,2,3,6,4,5,8,6,4,5,4,8,5,5,6,4,6,9,7,8,3,4,3,9,8,4,2,4,3,5,5,7,7,2,3,4,4,,1,3,3,5,7,4,6,3,3,3,4,,7
"San Antonio, TX",873,"1,000","1,148","1,263","1,276","1,353","1,271","1,196","1,178",912,"1,107",794,903,"1,128","1,272","1,350","1,527","1,479","1,343","1,247","1,180",937,"1,198",814,"1,021","1,335","1,256","1,391","1,499","1,402","1,436","1,288","1,223","1,110","1,203",847,990,"1,304","1,249","1,548","1,554","1,467","1,430","1,322","1,240","1,174","1,214",903,"1,031","1,388","1,382","1,562","1,521","1,547","1,522","1,182","1,266","1,130","1,153",899,"1,052","1,391","1,455","1,679","1,521","1,539","1,622","1,293","1,299","1,201","1,340","1,050","1,158","1,362","1,284","1,224","1,642","1,798","1,544","1,518","1,524","1,390","1,557","1,196","1,100","1,497","1,541","1,650","1,761","1,756","1,758","1,654","1,517","1,354","1,585","1,108","1,270","1,549","1,421","1,563","1,560","1,365","1,355","1,298","1,073",949,953,717,913,"1,179","1,138","1,340","1,315","1,116","1,213",996,909,840,886,701,832
"San Antonio, TX metro area","1,578","1,908","2,192","2,441","2,556","2,594","2,569","2,352","2,264","1,753","2,207","1,495","1,810","2,330","2,501","2,697","3,022","3,033","2,676","2,502","2,326","1,819","2,339","1,578","1,991","2,644","2,588","2,872","3,147","2,930","3,015","2,722","2,473","2,252","2,470","1,760","2,017","2,703","2,543","3,205","3,345","3,029","3,037","2,664","2,613","2,380","2,502","1,824","2,084","2,868","2,893","3,376","3,415","3,265","3,297","2,548","2,606","2,451","2,388","1,846","2,261","2,898","3,023","3,668","3,416","3,472","3,537","2,795","2,906","2,527","2,913","2,139","2,476","3,102","2,783","2,883","3,877","4,297","3,799","3,692","3,556","3,212","3,605","2,565","2,483","3,529","3,578","3,688","4,094","3,960","3,843","3,704","3,348","3,092","3,583","2,503","2,734","3,566","3,362","3,647","3,699","3,386","3,333","3,246","2,617","2,303","2,457","1,788","2,341","3,079","2,928","3,556","3,408","2,930","3,046","2,505","2,270","2,251","2,254","1,949","2,360"
"San Marcos, TX",28,30,45,37,52,57,39,26,20,20,34,27,28,31,43,43,46,51,32,36,23,22,34,23,34,29,48,45,40,44,51,31,24,21,30,23,37,43,37,60,63,55,50,45,34,39,48,37,36,40,52,68,56,57,64,47,45,36,66,29,50,76,55,67,81,96,63,61,63,52,42,38,52,66,70,60,88,96,77,69,51,63,71,68,73,78,71,86,91,90,93,112,72,75,72,72,62,103,61,83,100,82,99,109,68,60,79,43,72,99,72,95,102,83,75,68,73,69,53,51,48
"Schertz, TX",32,52,65,64,65,51,65,49,48,39,65,33,36,57,64,75,90,82,73,67,57,35,68,39,48,60,67,80,86,72,89,81,36,61,64,43,57,54,62,85,96,88,84,59,59,49,56,49,42,50,87,90,74,88,89,61,65,62,57,40,54,76,79,104,98,84,87,67,75,53,77,43,49,81,63,79,95,101,102,102,85,88,104,53,48,81,84,79,108,100,94,92,67,92,64,51,68,64,67,79,77,82,71,79,52,51,38,36,38,60,60,61,70,66,52,45,31,34,51,23,40
"Seguin, TX",16,26,25,26,26,31,36,19,31,18,28,19,23,25,31,24,27,41,28,33,40,25,32,25,20,36,36,28,31,35,46,32,28,22,28,22,31,44,28,51,51,33,36,46,38,32,45,23,31,40,40,48,58,52,55,43,34,27,34,24,29,39,29,37,34,41,54,28,28,24,34,18,34,34,34,30,40,60,56,59,53,54,83,45,52,82,75,60,89,79,61,71,57,46,90,59,41,110,103,79,112,100,106,113,61,59,88,59,49,68,55,130,115,93,89,70,71,79,73,53,61
